day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price
-2,6800,-1993200,TOMATOES,BUY,4992,10,aggressive_cross,4992
-2,27700,-1972300,TOMATOES,SELL,4994,3,aggressive_cross,4994
-2,42400,-1957600,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,42400,-1957600,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,51800,-1948200,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,89400,-1910600,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,93100,-1906900,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,122100,-1877900,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,131700,-1868300,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,140900,-1859100,TOMATOES,BUY,5003,9,aggressive_cross,5003
-2,151300,-1848700,TOMATOES,SELL,5001,10,aggressive_cross,5001
-2,179200,-1820800,TOMATOES,SELL,4994,6,aggressive_cross,4994
-2,210800,-1789200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,222300,-1777700,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,222300,-1777700,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,222700,-1777300,TOMATOES,SELL,4998,4,aggressive_cross,4998
-2,234700,-1765300,TOMATOES,SELL,4997,2,aggressive_cross,4997
-2,243100,-1756900,TOMATOES,SELL,4994,2,aggressive_cross,4994
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,249900,-1750100,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,255800,-1744200,TOMATOES,SELL,4997,3,aggressive_cross,4997
-2,267300,-1732700,TOMATOES,SELL,4997,7,aggressive_cross,4997
-2,272200,-1727800,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,274300,-1725700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,277500,-1722500,TOMATOES,SELL,5007,5,aggressive_cross,5007
-2,280200,-1719800,TOMATOES,SELL,5010,9,aggressive_cross,5010
-2,299400,-1700600,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,305800,-1694200,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,305900,-1694100,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,306600,-1693400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,306600,-1693400,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,350500,-1649500,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,412100,-1587900,TOMATOES,BUY,5006,10,aggressive_cross,5006
-2,413000,-1587000,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,421000,-1579000,EMERALDS,SELL,10000,10,aggressive_cross,10000
-2,437100,-1562900,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,457100,-1542900,EMERALDS,BUY,10000,10,aggressive_cross,10000
-2,464700,-1535300,TOMATOES,BUY,4999,7,aggressive_cross,4999
-2,482700,-1517300,TOMATOES,BUY,4996,10,aggressive_cross,4996
-2,488800,-1511200,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,494600,-1505400,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,494600,-1505400,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,501100,-1498900,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,519500,-1480500,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,526200,-1473800,TOMATOES,SELL,4990,10,aggressive_cross,4990
-2,527900,-1472100,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,530800,-1469200,TOMATOES,SELL,4993,2,aggressive_cross,4993
-2,574200,-1425800,TOMATOES,SELL,4997,10,aggressive_cross,4997
-2,588300,-1411700,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,599500,-1400500,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,605000,-1395000,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,622200,-1377800,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,622200,-1377800,EMERALDS,SELL,10000,10,aggressive_cross,10000
-2,625300,-1374700,TOMATOES,BUY,4998,10,aggressive_cross,4998
-2,631000,-1369000,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,650100,-1349900,TOMATOES,BUY,5015,5,aggressive_cross,5015
-2,655700,-1344300,TOMATOES,BUY,5020,10,aggressive_cross,5020
-2,660400,-1339600,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,660400,-1339600,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,674700,-1325300,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,681200,-1318800,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,714600,-1285400,TOMATOES,SELL,5002,5,aggressive_cross,5002
-2,716800,-1283200,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,716800,-1283200,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,727800,-1272200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,745000,-1255000,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,758000,-1242000,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,762900,-1237100,TOMATOES,SELL,5008,9,aggressive_cross,5008
-2,780100,-1219900,TOMATOES,SELL,5019,8,aggressive_cross,5019
-2,784400,-1215600,TOMATOES,BUY,5014,5,aggressive_cross,5014
-2,790700,-1209300,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,790700,-1209300,EMERALDS,BUY,10000,10,aggressive_cross,10000
-2,806300,-1193700,TOMATOES,BUY,5021,2,aggressive_cross,5021
-2,811700,-1188300,TOMATOES,BUY,5019,7,aggressive_cross,5019
-2,812400,-1187600,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,817700,-1182300,TOMATOES,BUY,5031,4,aggressive_cross,5031
-2,818200,-1181800,TOMATOES,BUY,5030,7,aggressive_cross,5030
-2,818700,-1181300,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,838300,-1161700,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,843600,-1156400,TOMATOES,BUY,5018,2,aggressive_cross,5018
-2,853300,-1146700,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,853300,-1146700,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,909900,-1090100,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,912800,-1087200,TOMATOES,SELL,5020,5,aggressive_cross,5020
-2,915300,-1084700,TOMATOES,SELL,5019,2,aggressive_cross,5019
-2,931900,-1068100,TOMATOES,SELL,5025,5,aggressive_cross,5025
-2,941600,-1058400,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,945300,-1054700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,950600,-1049400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,950600,-1049400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,962500,-1037500,TOMATOES,SELL,5011,7,aggressive_cross,5011
-2,965500,-1034500,TOMATOES,SELL,5010,8,aggressive_cross,5010
-2,966900,-1033100,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,967600,-1032400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,967600,-1032400,EMERALDS,BUY,10000,7,aggressive_cross,10000
